_line,_fivetran_synced,order_id,order_date,hour,category,item_name,price,quantity,discount,total_amount,branch,payment_method,order_type,customer_id,rating,is_weekend
44,2026-04-13T20:12:46.475Z,45,2021-03-25,16,مشروبات,عصير مانجو,39.44,2,0,78.88,أسيوط,Card,Dine-in,120982,4,0
45,2026-04-13T20:12:46.475Z,46,2025-05-29,20,مشروبات,عصير مانجو,32.81,2,0,65.63,القاهرة,Card,Dine-in,155970,4,0
46,2026-04-13T20:12:46.475Z,47,2025-08-02,22,مقبلات,سلطة بلدي,55.51,5,0.1,249.8,الجيزة,Cash,Dine-in,135121,4,1
47,2026-04-13T20:12:46.475Z,48,2022-07-30,20,طواجن,طاجن فراخ,97.3,5,0.1,437.86,الجيزة,Card,Dine-in,157843,4,1
48,2026-04-13T20:12:46.475Z,49,2020-07-14,19,طواجن,طاجن ملوخية,144.55,5,0.1,650.48,الجيزة,Cash,Delivery,60694,4,0
49,2026-04-13T20:12:46.475Z,50,2024-04-16,22,مشويات,كفتة,155.49,5,0.1,699.71,القاهرة,Wallet,Dine-in,678,4,0
50,2026-04-13T20:12:46.475Z,51,2023-09-27,15,مشويات,كفتة,151.13,2,0,302.26,الإسكندرية,Cash,Dine-in,156320,4,0
51,2026-04-13T20:12:46.475Z,52,2024-10-23,11,مشروبات,عصير قصب,63.17,1,0,63.17,أسيوط,Cash,Dine-in,60276,3,0
52,2026-04-13T20:12:46.475Z,53,2022-05-23,20,محاشي,محشي كوسة,81.83,2,0,163.66,طنطا,Cash,Dine-in,121225,3,0
53,2026-04-13T20:12:46.475Z,54,2022-02-13,20,مشروبات,عصير مانجو,34.44,3,0,103.33,القاهرة,Card,Takeaway,193947,5,1
54,2026-04-13T20:12:46.475Z,55,2023-06-21,10,مشروبات,عصير قصب,3.51,1,0,3.51,الجيزة,Cash,Delivery,783,3,0
55,2026-04-13T20:12:46.475Z,56,2022-02-17,22,طواجن,طاجن ملوخية,105.27,2,0,210.54,القاهرة,Cash,Delivery,101630,4,0
56,2026-04-13T20:12:46.475Z,57,2025-10-11,14,مقبلات,بابا غنوج,57.44,3,0,172.32,طنطا,Cash,Takeaway,186662,4,1
57,2026-04-13T20:12:46.475Z,58,2020-12-14,17,طواجن,طاجن فراخ,121.53,2,0,243.05,الإسكندرية,Cash,Takeaway,50418,4,0
58,2026-04-13T20:12:46.475Z,59,2020-10-24,18,مقبلات,طحينة,46.74,4,0.1,168.28,الإسكندرية,Card,Dine-in,54662,3,1
59,2026-04-13T20:12:46.475Z,60,2023-10-18,23,طواجن,طاجن فراخ,138.79,2,0,277.58,أسيوط,Cash,Dine-in,5945,3,0
60,2026-04-13T20:12:46.475Z,61,2024-03-11,10,محاشي,محشي ورق عنب,59.97,3,0,179.91,الجيزة,Wallet,Dine-in,102969,4,0
61,2026-04-13T20:12:46.475Z,62,2021-04-23,20,محاشي,محشي ورق عنب,58.95,3,0,176.86,أسيوط,Wallet,Delivery,192686,2,1
62,2026-04-13T20:12:46.475Z,63,2023-11-09,16,مقبلات,طحينة,81.67,3,0,245.01,الإسكندرية,Cash,Takeaway,160980,4,0
63,2026-04-13T20:12:46.475Z,64,2020-02-06,21,مقبلات,بابا غنوج,51.76,6,0.1,279.5,الإسكندرية,Cash,Dine-in,195252,5,0
64,2026-04-13T20:12:46.475Z,65,2023-04-07,20,مقبلات,سلطة بلدي,87.54,3,0,262.61,القاهرة,Card,Delivery,66937,5,1
65,2026-04-13T20:12:46.475Z,66,2022-12-04,14,مقبلات,بابا غنوج,64.98,4,0.1,233.91,الجيزة,Cash,Takeaway,65672,3,1
66,2026-04-13T20:12:46.475Z,67,2025-07-19,23,مشروبات,عصير قصب,36.6,5,0.1,164.72,القاهرة,Cash,Dine-in,128674,3,1
67,2026-04-13T20:12:46.475Z,68,2023-05-13,12,محاشي,محشي ورق عنب,74.01,5,0.1,333.06,أسيوط,Cash,Delivery,24979,3,1
68,2026-04-13T20:12:46.475Z,69,2024-11-25,14,مشروبات,عصير مانجو,20.04,4,0.1,72.15,القاهرة,Card,Dine-in,21867,5,0
69,2026-04-13T20:12:46.475Z,70,2022-07-07,21,مقبلات,بابا غنوج,33.74,2,0,67.47,القاهرة,Cash,Dine-in,177107,4,0
70,2026-04-13T20:12:46.475Z,71,2022-09-11,23,مشروبات,عصير مانجو,10.15,4,0.1,36.53,القاهرة,Cash,Takeaway,22140,5,1
71,2026-04-13T20:12:46.475Z,72,2021-11-11,18,محاشي,محشي ورق عنب,99.13,3,0,297.38,القاهرة,Wallet,Takeaway,66387,4,0
72,2026-04-13T20:12:46.475Z,73,2021-12-10,21,طواجن,طاجن فراخ,125.22,3,0,375.66,أسيوط,Cash,Dine-in,199038,3,1
73,2026-04-13T20:12:46.475Z,74,2023-06-16,16,مقبلات,بابا غنوج,76.55,5,0.1,344.48,القاهرة,Cash,Delivery,126324,4,1
74,2026-04-13T20:12:46.475Z,75,2020-10-10,19,مشروبات,عصير قصب,33.03,4,0.1,118.89,الإسكندرية,Cash,Dine-in,30889,4,1
75,2026-04-13T20:12:46.475Z,76,2022-03-24,15,مقبلات,بابا غنوج,42.05,2,0,84.11,الجيزة,Wallet,Dine-in,134567,3,0
76,2026-04-13T20:12:46.475Z,77,2023-04-30,14,محاشي,محشي كوسة,95.08,5,0.1,427.87,الإسكندرية,Wallet,Takeaway,45260,4,1
77,2026-04-13T20:12:46.475Z,78,2025-08-12,23,طواجن,طاجن فراخ,131.63,2,0,263.26,القاهرة,Card,Delivery,140273,3,0
78,2026-04-13T20:12:46.475Z,79,2025-06-14,10,محاشي,محشي ورق عنب,92.7,2,0,185.41,الجيزة,Card,Takeaway,68977,3,1
79,2026-04-13T20:12:46.475Z,80,2024-04-13,11,محاشي,محشي ورق عنب,94.72,6,0.1,511.49,الجيزة,Cash,Dine-in,100952,3,1
80,2026-04-13T20:12:46.475Z,81,2020-09-27,16,مشويات,كباب,127.26,5,0.1,572.66,أسيوط,Cash,Delivery,95278,3,1
81,2026-04-13T20:12:46.475Z,82,2020-09-16,22,مشروبات,عصير مانجو,36.19,2,0,72.39,المنصورة,Cash,Dine-in,36435,4,0
82,2026-04-13T20:12:46.475Z,83,2020-03-31,20,مقبلات,طحينة,40.68,4,0.1,146.44,الجيزة,Card,Takeaway,84319,3,0
83,2026-04-13T20:12:46.475Z,84,2025-05-09,17,طواجن,طاجن فراخ,139.77,4,0.1,503.16,المنصورة,Cash,Dine-in,198703,3,1
84,2026-04-13T20:12:46.475Z,85,2024-05-07,23,مقبلات,طحينة,43.34,5,0.1,195.02,القاهرة,Wallet,Delivery,41599,4,0
85,2026-04-13T20:12:46.475Z,86,2025-08-13,18,طواجن,طاجن فراخ,120.38,2,0,240.76,الجيزة,Cash,Takeaway,181280,5,0
86,2026-04-13T20:12:46.475Z,87,2020-06-23,21,طواجن,طاجن ملوخية,128.89,3,0,386.68,الإسكندرية,Wallet,Dine-in,10302,4,0
87,2026-04-13T20:12:46.475Z,88,2021-10-19,21,محاشي,محشي كوسة,59.85,4,0.1,215.45,الجيزة,Card,Dine-in,109557,4,0
88,2026-04-13T20:12:46.475Z,89,2025-09-24,10,مقبلات,طحينة,84.6,1,0,84.6,أسيوط,Card,Takeaway,120657,3,0
89,2026-04-13T20:12:46.475Z,90,2020-12-14,14,مقبلات,طحينة,38.9,4,0.1,140.03,الإسكندرية,Cash,Dine-in,11624,4,0
90,2026-04-13T20:12:46.475Z,91,2021-12-25,19,محاشي,محشي كوسة,96.82,4,0.1,348.57,المنصورة,Card,Takeaway,152309,4,1
91,2026-04-13T20:12:46.475Z,92,2023-01-31,21,محاشي,محشي كوسة,82.05,4,0.1,295.37,القاهرة,Card,Dine-in,2929,3,0
92,2026-04-13T20:12:46.476Z,93,2023-07-21,14,مقبلات,بابا غنوج,16.66,4,0.1,59.98,القاهرة,Cash,Takeaway,39433,4,1
93,2026-04-13T20:12:46.476Z,94,2024-01-07,17,مشروبات,عصير مانجو,13.84,3,0,41.52,القاهرة,Cash,Takeaway,60418,4,1
94,2026-04-13T20:12:46.476Z,95,2022-05-07,22,طواجن,طاجن فراخ,108.64,4,0.1,391.1,القاهرة,Cash,Delivery,70764,3,1
95,2026-04-13T20:12:46.476Z,96,2024-10-18,19,مشروبات,عصير قصب,27.04,5,0.1,121.68,الإسكندرية,Wallet,Takeaway,183676,3,1
96,2026-04-13T20:12:46.476Z,97,2023-03-12,11,مقبلات,سلطة بلدي,82.36,2,0,164.73,الإسكندرية,Wallet,Dine-in,171737,4,1
97,2026-04-13T20:12:46.476Z,98,2024-01-17,18,محاشي,محشي ورق عنب,66.63,1,0,66.63,المنصورة,Wallet,Dine-in,195207,3,0
98,2026-04-13T20:12:46.476Z,99,2025-03-31,19,مقبلات,طحينة,34.04,2,0,68.08,القاهرة,Card,Takeaway,39231,4,0
99,2026-04-13T20:12:46.476Z,100,2021-06-09,11,مقبلات,طحينة,54.74,1,0,54.74,الإسكندرية,Card,Takeaway,107206,4,0
100,2026-04-13T20:12:46.476Z,101,2020-11-07,12,مشويات,شيش طاووق,145.07,3,0,435.22,الإسكندرية,Cash,Takeaway,187925,2,1
101,2026-04-13T20:12:46.476Z,102,2025-03-05,14,طواجن,طاجن ملوخية,119.09,2,0,238.18,القاهرة,Wallet,Takeaway,152830,5,0
102,2026-04-13T20:12:46.476Z,103,2020-09-13,11,مشويات,كباب,138.68,2,0,277.36,القاهرة,Cash,Delivery,106031,4,1
103,2026-04-13T20:12:46.476Z,104,2021-06-19,22,طواجن,طاجن بامية,152.24,4,0.1,548.07,الجيزة,Card,Dine-in,157194,3,1
104,2026-04-13T20:12:46.476Z,105,2025-08-27,11,طواجن,طاجن فراخ,92.02,2,0,184.04,القاهرة,Cash,Takeaway,195310,5,0
105,2026-04-13T20:12:46.476Z,106,2022-06-06,22,مشويات,كباب,145.71,3,0,437.12,الإسكندرية,Cash,Dine-in,79653,3,0
106,2026-04-13T20:12:46.476Z,107,2023-08-30,20,مشروبات,عصير مانجو,35.04,2,0,70.07,الإسكندرية,Card,Delivery,172409,5,0
107,2026-04-13T20:12:46.476Z,108,2025-01-07,11,محاشي,محشي كوسة,59.19,1,0,59.19,الإسكندرية,Cash,Dine-in,88365,4,0
108,2026-04-13T20:12:46.476Z,109,2023-08-28,20,محاشي,محشي كوسة,102.41,2,0,204.81,المنصورة,Cash,Delivery,182315,3,0
109,2026-04-13T20:12:46.476Z,110,2024-07-11,22,مقبلات,بابا غنوج,51.51,6,0.1,278.13,الإسكندرية,Card,Delivery,198228,4,0
110,2026-04-13T20:12:46.476Z,111,2023-09-08,22,طواجن,طاجن بامية,137.83,4,0.1,496.19,الجيزة,Cash,Takeaway,111355,4,1
111,2026-04-13T20:12:46.476Z,112,2023-07-20,13,طواجن,طاجن فراخ,119.56,4,0.1,430.41,الجيزة,Wallet,Delivery,122377,3,0
112,2026-04-13T20:12:46.476Z,113,2023-06-12,17,مقبلات,طحينة,42.41,2,0,84.83,الإسكندرية,Wallet,Dine-in,67091,5,0
113,2026-04-13T20:12:46.476Z,114,2025-02-26,15,محاشي,محشي كوسة,103.4,2,0,206.79,الجيزة,Cash,Takeaway,49698,3,0
114,2026-04-13T20:12:46.476Z,115,2022-12-15,14,مشويات,كفتة,133.83,3,0,401.48,القاهرة,Cash,Dine-in,126673,3,0
115,2026-04-13T20:12:46.476Z,116,2022-01-08,18,مقبلات,طحينة,27.86,5,0.1,125.39,طنطا,Cash,Takeaway,108763,3,1
116,2026-04-13T20:12:46.476Z,117,2021-10-09,14,طواجن,طاجن فراخ,120.85,3,0,362.55,الجيزة,Card,Delivery,145411,4,1
117,2026-04-13T20:12:46.476Z,118,2024-01-10,18,مشويات,كباب,125.42,1,0,125.42,أسيوط,Cash,Takeaway,177351,3,0
118,2026-04-13T20:12:46.476Z,119,2021-09-26,15,مشروبات,عصير قصب,64.29,4,0.1,231.44,المنصورة,Card,Dine-in,4779,3,1
119,2026-04-13T20:12:46.476Z,120,2024-09-01,18,محاشي,محشي ورق عنب,99.96,2,0,199.92,القاهرة,Card,Takeaway,112862,5,1
120,2026-04-13T20:12:46.476Z,121,2025-12-25,16,مقبلات,طحينة,57.07,2,0,114.15,المنصورة,Cash,Dine-in,86673,3,0
121,2026-04-13T20:12:46.476Z,122,2021-05-18,22,طواجن,طاجن فراخ,124.97,2,0,249.94,الجيزة,Cash,Takeaway,190102,3,0
122,2026-04-13T20:12:46.476Z,123,2023-05-21,14,طواجن,طاجن فراخ,104.28,5,0.1,469.26,القاهرة,Wallet,Dine-in,191236,4,1
123,2026-04-13T20:12:46.476Z,124,2020-09-03,20,مقبلات,طحينة,50.46,2,0,100.92,الجيزة,Wallet,Takeaway,130597,3,0
124,2026-04-13T20:12:46.476Z,125,2025-02-17,23,مشروبات,عصير مانجو,24.45,4,0.1,88.02,الجيزة,Card,Dine-in,42482,4,0
125,2026-04-13T20:12:46.476Z,126,2020-09-06,10,مقبلات,بابا غنوج,70.06,5,0.1,315.29,الإسكندرية,Cash,Dine-in,84864,3,1
126,2026-04-13T20:12:46.476Z,127,2023-04-13,13,مشويات,كباب,139.42,2,0,278.85,القاهرة,Cash,Delivery,75028,4,0
127,2026-04-13T20:12:46.476Z,128,2023-02-11,11,طواجن,طاجن ملوخية,83.1,3,0,249.29,القاهرة,Cash,Dine-in,180679,4,1
128,2026-04-13T20:12:46.476Z,129,2022-06-06,14,طواجن,طاجن فراخ,106.76,2,0,213.52,المنصورة,Cash,Delivery,101405,3,0
129,2026-04-13T20:12:46.476Z,130,2024-01-23,10,مشروبات,شاي,33.31,3,0,99.94,أسيوط,Cash,Dine-in,39066,3,0
130,2026-04-13T20:12:46.476Z,131,2024-08-18,11,مشروبات,عصير قصب,23.12,2,0,46.24,الإسكندرية,Card,Takeaway,141359,4,1
131,2026-04-13T20:12:46.476Z,132,2020-12-15,13,طواجن,طاجن فراخ,107.3,2,0,214.59,القاهرة,Cash,Dine-in,74893,4,0
132,2026-04-13T20:12:46.476Z,133,2024-05-13,21,مقبلات,طحينة,18.21,4,0.1,65.54,الإسكندرية,Wallet,Takeaway,42245,4,0
133,2026-04-13T20:12:46.476Z,134,2023-01-08,16,مشروبات,عصير مانجو,51.33,5,0.1,230.99,الجيزة,Card,Delivery,97657,4,1
134,2026-04-13T20:12:46.476Z,135,2022-08-11,21,مشروبات,عصير مانجو,13.72,5,0.1,61.73,الجيزة,Wallet,Dine-in,190144,4,0
135,2026-04-13T20:12:46.476Z,136,2022-03-01,16,طواجن,طاجن فراخ,115.29,6,0.1,622.54,الجيزة,Cash,Takeaway,120748,3,0
136,2026-04-13T20:12:46.476Z,137,2025-10-03,18,طواجن,طاجن بامية,100.76,4,0.1,362.73,الجيزة,Wallet,Delivery,185804,4,1
137,2026-04-13T20:12:46.476Z,138,2020-08-15,18,مقبلات,طحينة,53.36,2,0,106.73,الجيزة,Cash,Delivery,160496,4,1
138,2026-04-13T20:12:46.476Z,139,2020-02-25,11,مشويات,كفتة,162.67,2,0,325.34,الإسكندرية,Card,Dine-in,48205,4,0
139,2026-04-13T20:12:46.476Z,140,2024-07-12,18,مشويات,كفتة,161.56,4,0.1,581.61,طنطا,Card,Dine-in,68873,3,1
140,2026-04-13T20:12:46.476Z,141,2020-03-17,21,طواجن,طاجن فراخ,134.17,2,0,268.33,القاهرة,Wallet,Delivery,85094,4,0
141,2026-04-13T20:12:46.476Z,142,2023-12-18,17,مقبلات,بابا غنوج,56.77,1,0,56.77,القاهرة,Cash,Delivery,54434,5,0
142,2026-04-13T20:12:46.476Z,143,2020-08-26,16,طواجن,طاجن فراخ,119.08,5,0.1,535.88,الإسكندرية,Wallet,Dine-in,58971,5,0
143,2026-04-13T20:12:46.476Z,144,2021-04-08,13,مقبلات,بابا غنوج,56.87,2,0,113.74,الإسكندرية,Wallet,Delivery,128508,3,0
144,2026-04-13T20:12:46.476Z,145,2021-04-30,22,طواجن,طاجن ملوخية,130.54,4,0.1,469.96,الجيزة,Wallet,Takeaway,93546,4,1
145,2026-04-13T20:12:46.476Z,146,2020-05-25,10,طواجن,طاجن فراخ,135.81,1,0,135.81,الجيزة,Cash,Delivery,6442,4,0
146,2026-04-13T20:12:46.476Z,147,2025-07-07,19,مشويات,كباب,134.5,2,0,269.01,القاهرة,Wallet,Dine-in,52731,4,0
147,2026-04-13T20:12:46.476Z,148,2024-12-09,16,مقبلات,بابا غنوج,60.13,5,0.1,270.59,الجيزة,Cash,Dine-in,133781,4,0
148,2026-04-13T20:12:46.476Z,149,2020-04-14,10,محاشي,محشي ورق عنب,64.91,2,0,129.82,القاهرة,Card,Delivery,43182,4,0
149,2026-04-13T20:12:46.476Z,150,2020-12-13,21,مقبلات,سلطة بلدي,46.54,3,0,139.62,الجيزة,Cash,Dine-in,100303,3,1
150,2026-04-13T20:12:46.476Z,151,2022-06-20,22,محاشي,محشي كوسة,74.88,7,0.1,471.74,الإسكندرية,Card,Delivery,45118,3,0
151,2026-04-13T20:12:46.476Z,152,2022-04-17,18,طواجن,طاجن ملوخية,127.36,2,0,254.73,الإسكندرية,Wallet,Takeaway,180600,3,1
152,2026-04-13T20:12:46.476Z,153,2024-02-28,19,محاشي,محشي ورق عنب,87.28,3,0,261.83,الإسكندرية,Cash,Dine-in,46337,3,0
153,2026-04-13T20:12:46.476Z,154,2021-03-18,18,مقبلات,سلطة بلدي,42.85,3,0,128.55,طنطا,Cash,Dine-in,105248,3,0
154,2026-04-13T20:12:46.476Z,155,2020-12-08,14,مشويات,كفتة,140.26,2,0,280.53,الجيزة,Cash,Delivery,44756,4,0
155,2026-04-13T20:12:46.476Z,156,2025-08-19,12,مشويات,كفتة,145.01,1,0,145.01,الجيزة,Wallet,Dine-in,91953,3,0
156,2026-04-13T20:12:46.476Z,157,2022-12-30,14,مقبلات,بابا غنوج,62.86,3,0,188.57,الجيزة,Cash,Dine-in,161452,4,1
157,2026-04-13T20:12:46.476Z,158,2022-10-16,23,مقبلات,سلطة بلدي,102.27,3,0,306.81,الجيزة,Cash,Dine-in,68796,3,1
158,2026-04-13T20:12:46.476Z,159,2021-07-06,15,مشويات,كفتة,161.16,4,0.1,580.16,الجيزة,Cash,Dine-in,199071,4,0
159,2026-04-13T20:12:46.476Z,160,2020-06-04,20,طواجن,طاجن ملوخية,113.3,5,0.1,509.87,القاهرة,Card,Delivery,879,5,0
160,2026-04-13T20:12:46.476Z,161,2023-05-19,13,مشويات,كفتة,156.07,3,0,468.21,الإسكندرية,Card,Dine-in,148558,3,1
161,2026-04-13T20:12:46.476Z,162,2022-06-03,11,مشروبات,عصير مانجو,26.8,2,0,53.6,المنصورة,Cash,Takeaway,51104,4,1
162,2026-04-13T20:12:46.476Z,163,2025-06-11,11,مقبلات,بابا غنوج,37.67,1,0,37.67,الإسكندرية,Cash,Dine-in,67578,4,0
163,2026-04-13T20:12:46.476Z,164,2022-10-21,21,طواجن,طاجن ملوخية,116.49,5,0.1,524.2,القاهرة,Cash,Delivery,130477,4,1
164,2026-04-13T20:12:46.476Z,165,2020-11-16,11,مشويات,كباب,138.2,2,0,276.4,القاهرة,Cash,Takeaway,131035,4,0
165,2026-04-13T20:12:46.476Z,166,2025-01-21,10,محاشي,محشي كوسة,83.06,5,0.1,373.76,الإسكندرية,Cash,Delivery,23029,4,0
166,2026-04-13T20:12:46.476Z,167,2025-01-13,21,محاشي,محشي باذنجان,69.58,2,0,139.16,طنطا,Cash,Delivery,18871,3,0
167,2026-04-13T20:12:46.476Z,168,2020-06-05,23,مشروبات,عصير قصب,47.25,3,0,141.74,القاهرة,Wallet,Dine-in,174983,3,1
168,2026-04-13T20:12:46.476Z,169,2023-06-26,14,محاشي,محشي باذنجان,90.12,3,0,270.35,الجيزة,Cash,Dine-in,124638,4,0
169,2026-04-13T20:12:46.476Z,170,2021-09-08,13,طواجن,طاجن ملوخية,127.66,3,0,382.99,المنصورة,Cash,Delivery,199676,4,0
170,2026-04-13T20:12:46.476Z,171,2021-04-14,13,مشروبات,عصير مانجو,3.24,3,0,9.72,الإسكندرية,Wallet,Dine-in,95973,4,0
171,2026-04-13T20:12:46.476Z,172,2020-03-15,12,مشروبات,عصير مانجو,34.28,3,0,102.83,الإسكندرية,Wallet,Takeaway,37118,4,1
172,2026-04-13T20:12:46.476Z,173,2022-06-17,13,محاشي,محشي كوسة,66.91,4,0.1,240.87,طنطا,Card,Dine-in,32552,3,1
173,2026-04-13T20:12:46.476Z,174,2020-09-12,19,طواجن,طاجن فراخ,113.15,4,0.1,407.34,القاهرة,Card,Dine-in,195318,4,1
174,2026-04-13T20:12:46.476Z,175,2023-02-25,17,طواجن,طاجن ملوخية,137.25,2,0,274.5,الجيزة,Cash,Delivery,97498,4,1
